id	question	key_words
23	Quel le plus grand mensonge que tu aies raconté ?	Quel/grand/mensonge/aies/raconté
24	Quelle est la pire connerie que t'aies jamais faite ?	Quelle/pire/connerie/aies/faite
25	Quel est ton plus gros regret ?	Quel/ton/gros/regret
26	Quel est ton plus gros remords ?	Quel/ton/gros/remords
27	Ton plus gros complexe ?	Ton/gros/complexe
28	T'as déjà été bourré.e ? Si oui, raconte-nous ce qu'il s'est passé pendant ta soirée la plus alcoolisée.	oui/raconte/passé/soirée/alcoolisée
29	Tas déjà fumé une clope ?	fumé/clope
30	T'as déjà fait une nuit blanche ?	fait/nuit/blanche
31	C'est qui ton meilleur ami ?	ton/meilleur/ami
32	C'est qui ta meilleure amie ?	est/meilleure/amie
33	Raconte-nous un secret de ton enfance.	secret/ton/enfance
34	T'as déjà commis un délit ?	commis/délit
35	T'as déjà été arrêté par la police ?	arrêté/police
36	Quel est le pire truc que t'aies jamais fait ?	Quel/pire/truc/aies/fait
37	Ta destination rêvée pour partir en vacances ?	destination/rêvée/partir/vacances
38	Quel est le membre préféré de ta famille ?	Quel/membre/préféré/ta/famille
39	Quelle est la célébrité que tu trouves le plus beau ?	Quelle/célébrité/beau
40	Quelle est la célébrité que tu trouves la plus belle ?	Quelle/célébrité/trouves/belle
41	T'as déjà pété dans un ascenseur ?	pété/ascenseur
42	Tu t'es déjà fait pipi dessus, si oui, raconte-nous tout !	Tu/pipi/raconte
43	Tu t'es déjà fait caca dessus, si oui, raconte-nous l'histoire complète !	Tu/fait/caca/dessus/raconte/histoire/complète
44	T'as déjà été amoureux.se ?	amoureux.se
45	T'as déjà souhaité du mal de quelqu'un, si oui, de qui ?	souhaité/mal/oui
46	Avec quelle personne célèbre tu coucherais ?	personne/célèbre/tu/coucherais
47	T'as aimé la fin de GoT (Game of Thrones) ?	aimé/fin/Game
48	T'es déjà parti.e sans payer l'addition ?	es/payer/addition
49	C'est quoi ton plat préféré ?	plat/préféré
50	T'as déjà entendu tes parents en train de le faire ?	entendu/parents/train/faire
51	Tu ronfles ?	ronfles
52	Tu t'es déjà fait pipi dessus en dormant ?	Tu/pipi/dormant
53	Tu crois en Dieu ?	Tu/crois
54	Tu crois au destin ?	Tu/crois/destin
55	Est-ce que t'as une manie bizarre ?	as/manie/bizarre
56	Tu ferais Koh Lanta ?	Tu/ferais
57	T'as un TOC ?	as/TOC
58	Tu te rases les parties intimes ?	te/rases/parties/intimes
59	Tu crois au coup de foudre ?	Tu/crois/coup/foudre
60	Quelle est la pire chose qui pourrait t'arriver ?	Quelle/pire/chose/pourrait/arriver
61	Que penses-tu d'Emmanuel Macron ?	penses/tu
62	Tu soutiens les gilets jaunes ?	Tu/soutiens/gilets/jaunes
63	Quel est l'âge de ton premier bisous ?	Quel/âge/ton/premier/bisous
64	Si tu devais avoir un tatouage, ce serait quoi et où il serait ?	tu/devais/avoir/tatouage/serait
65	Lequel des 7 péchés capitaux dirige ta vie ?	péchés/capitaux/dirige/ta/vie
66	Quel est ton film préféré ?	Quel/ton/film/préféré
67	T'es vierge ?	T'/vierge
68	À quel âge as-tu perdu ta virginité ?	âge/-/tu/perdu/virginité
69	T'as déjà dormi dans la rue ?	as/rue
70	T'as déjà volé quelque chose, si oui, c'était quoi ?	volé/chose
71	Si tu devais rencontrer une de tes idoles, morte ou vivante, qui serait-elle et pourquoi ?	tu/devais/rencontrer/tes/idoles/morte/vivante/serait
72	Qui tu mettrais sur des billets de banque ?	tu/mettrais/billets/banque
73	Tu fais pipi sous la douche ?	Tu/fais/pipi/douche
74	Une fois que t'as fait caca, tu utilises combien de feuilles de papier toilette ?	fois/fait/caca/tu/utilises/feuilles/papier/toilette
75	Quel est le concert auquel tu rêverais d'assister ?	Quel/concert/auquel/tu/rêverais/assister
76	T'as déjà rembourré ton soutif ou ton slip ?	as/ton/soutif/ton/slip
77	Quelle est la partie du corps que tu préfères chez ton amant.e ?	Quelle/partie/corps/préfères/ton/amant.e
78	Si tu étais aveugle, qui autour de cette table serait ton chien d'aveugle ?	aveugle/table/ton/chien/aveugle
79	Tu penses que tu chantes bien ?	Tu/penses/chantes
80	Quelle est la plus grosse erreur que tu aies jamais commise ?	Quelle/grosse/erreur/aies/commise
81	Voudrais-tu avoir des relations sexuelles avec une personne de ce groupe ?	Voudrais/-/tu/avoir/relations/sexuelles/personne/groupe
82	As-tu déjà eu des relations sexuelles avec une personne de ce groupe ?	As/-/eu/relations/sexuelles/personne/groupe
83	Quelle est la personne la plus sexy ici ?	Quelle/personne/sexy
84	As-tu déjà pensé à tromper un petit copain/petite copine ?	As/-/pensé/tromper/petit/copain/petite/copine
85	Quelle est ta position sexuelle préférée ?	Quelle/position/sexuelle/préférée
86	Qui, parmi les personnes de ce groupe, a le plus beau corps ?	personnes/groupe/beau/corps
87	As-tu déjà eu des relations sexuelles avec un inconnu/e ?	As/-/eu/relations/sexuelles/inconnu/e
88	As-tu déjà eu des relations sexuelles dans la rue ?	As/-/eu/relations/sexuelles/rue
89	As-tu déjà été surpris pendant des relations sexuelles ?	As/-/surpris/relations/sexuelles
90	As-tu déjà eu des relations sexuelles avec une personne de votre sexe ?	As/-/eu/relations/sexuelles/personne/sexe
91	Avez-vous déjà mis en doute votre orientation sexuelle ?	Avez/mis/doute/orientation/sexuelle
92	As-tu déjà été avec quelqu'un rencontré en ligne ?	As/-/été/rencontré/ligne
93	T'as déjà fait un trio ?	fait/trio
94	Quelle a été ta pire expérience sexuelle ?	Quelle/pire/expérience/sexuelle
95	Quelle est ta plus grosse honte sexuelle ?	Quelle/grosse/honte/sexuelle
96	T'as déjà eu une panne ?	eu/panne
97	Selon toi, le plus important, c'est le sexe ou l'amour ?	toi/important/sexe/amour
98	À quel âge t'as fait ta première fois ?	âge/fait/première/fois
99	Quelle est ta position sexuelle préférée ?	Quelle/position/sexuelle/préférée
100	Te considères-tu comme un bon coup ?	Te/considères/-/tu/bon/coup
101	Combien d'aventures d'un soir t'as déjà eu ?	aventures/soir/eu
102	Quel est l'endroit le plus fou où tu as fait des trucs ?	Quel/endroit/fou/as/fait/trucs
103	T'as un fétiche ? Si oui, lequel ?	as/fétiche/oui
104	T'aimes les pieds ?	aimes/pieds
105	Si tu devais te faire tatouer sur le pubis, tu ferais quoi ?	te/tatouer/pubis/tu/ferais
106	Avec combien de personnes t'as déjà couché ?	personnes/couché
107	T'as déjà couché avec un.e ami.e ?	couché/ami.e
108	T'as déjà fait du sexe via webcam avec ton/ta petit.e ami.e ?	fait/sexe/webcam/ton/petit.e/ami.e
109	T'as déjà fait du sexe via webcam avec un inconnu ?	fait/sexe/webcam/inconnu
110	Tu t'es déjà masturbé en ligne ?	Tu/es/masturbé/ligne
111	T'es circoncis ?	T'/circoncis
112	Tu préfères les pénis circoncis ou non ?	Tu/préfères/pénis/circoncis
113	T'as déjà eu une maladie ou infection sexuellement transmissible (IST) ?	eu/maladie/infection/transmissible/IST
114	T'as déjà eu des rapports non protégés ?	eu/rapports/protégés
115	Tu cries quand tu jouis ?	cries/tu
116	Tu aimes parler quand tu fais l'amour ?	Tu/aimes/parler/fais/amour
117	Tu es adepte du bondage ?	Tu/adepte/bondage
118	Tu es sado, maso ou les deux ?	Tu/maso
119	Qu'est-ce que tu préfères dans les préliminaires ?	préfères/préliminaires
120	Tu as déjà simulé un orgasme ?	Tu/simulé/orgasme
121	Quel est ton fantasme sexuel ?	Quel/ton/fantasme/sexuel
122	Tu es plutôt fesses ou seins ?	Tu/fesses/seins
123	Tu t'es déjà masturbé dans un endroit public ?	Tu/es/masturbé/endroit/public
124	T'as déjà fantasmé sur quelqu'un de ta famille ?	as/fantasmé/ta/famille
125	Y'a des trucs bizarres qui t'excitent ?	a/trucs/bizarres/excitent
126	Qu'est-ce qui t'excite le plus ?	t'/excite
127	Quelqu'un t'a déjà surpris en train de faire des trucs ?	t'/surpris/train/faire/trucs
128	Tu as déjà vu des gens en train de faire des trucs ?	Tu/as/vu/gens/train/faire/trucs
129	Tu as déjà fait appel aux services d'un.e escorte ?	Tu/fait/appel/services/escorte
130	Avec quelle célébrité aimerais-tu passer une nuit endiablée ?	célébrité/aimerais/-/tu/passer/nuit/endiablée
131	Tu t'es déjà pris une droite ?	Tu/pris/droite
132	Tu m'as déjà menti ?	Tu/as/menti
133	Qu'est-ce qu'ils savent et qu'est-ce qu'ils pensent de moi tes amis ?	savent/pensent/tes/amis
134	Quelle partie de ton corps tu modifierais ?	Quelle/partie/ton/corps/tu/modifierais
135	C'est quoi le plus beau truc que t'as fait par amour ?	beau/truc/fait/amour
136	C'est quoi le truc le plus bizarre que t'as fait dans l'intimité ?	truc/bizarre/fait/intimité
137	Tu penses que je porte quoi en dessous de mes vêtements ?	Tu/penses/porte/dessous/vêtements
138	Avec quelle célébrité t'aimerais passer un moment intime ?	célébrité/aimerais/passer/moment/intime
139	T'aimerais essayer avec une personne du même sexe ?	aimerais/essayer/personne/même/sexe
140	Tu pourrais me faire un strip-tease ?	Tu/pourrais/faire/strip-tease
141	T'es cap de me raconter un truc embarrassant que t'as déjà fait ?	T'/cap/raconter/truc/embarrassant/fait
142	T'es cap de te mettre en sous-vêtements dans la rue ?	T'/cap/mettre/sous-vêtements/rue
143	Qui est-ce que tu n'aimerais pas voir tout.e nu.e ?	aimerais/voir/tout.e/nu.e
144	On t'a déjà chopé en train de faire un truc pas très catholique ?	chopé/train/faire/truc/catholique
145	Tu penses quoi des relations à longue distance ?	penses/quoi/relations/longue/distance
146	Tu penses qu'une relation sans jalousie, c'est possible ?	penses/relation/jalousie/possible
147	T'aimerais te marier ?	te/marier
148	Tu penses que tu serais un bon papa ?	Tu/penses/bon
149	Tu tombes facilement amoureux ?	tombes/amoureux
150	Tu penses que t'es toujours amoureux d'une ex ?	penses/es/amoureux/ex
151	En fonction des conditions météorologiques, demandez de faire un tour en sous-vêtements dans la rue (s'il fait froid, c'est encore plus drôle) ou de se jeter dans la piscine tout.e habillé.e	fonction/conditions/météorologiques/demandez/faire/tour/sous-vêtements/rue/fait/froid/drôle/jeter/piscine/tout.e
152	Servir les boissons de tout le monde pendant toute la soirée	boissons/tout/monde/toute/soirée
153	Faire le plus de pompes possible pendant 1 minute	Faire/pompes/possible/minute
154	Ne pas regarder son téléphone pendant 2 heures	regarder/téléphone/heures
155	Modifier le statut de sa relation sur Facebook	statut/relation
156	Poster une photo moche sur Instagram	Poster/photo/moche
157	Draguer un inconnu	Draguer/inconnu
158	Imiter une scène de film	Imiter/scène/film
159	Imiter quelqu'un dans le groupe	Imiter/groupe
160	Manger de l'ail cru	ail/cru
161	Manger une cuillerée de cannelle en poudre	Manger/cuillerée/cannelle/poudre
162	Appeler votre mère pour lui dire que vous l'aimez	Appeler/mère/dire/aimez
163	Fermer les yeux et essayer de reconnaître quelqu'un à sa simple odeur.	Fermer/yeux/essayer/reconnaître/simple/odeur
164	Embrassez la personne que vous trouvez le/la plus beau/belle	personne/trouvez/beau///belle
165	Se mettre en sous-vêtements	mettre/sous-vêtements
166	Parler en verlan toute la soirée	Parler/verlan/toute/soirée
167	Parler avec un accent, de votre choix, toute la soirée	Parler/accent/choix/toute/soirée
168	Ne pas fumer de toute la soirée	fumer/toute/soirée
169	Faire des compliments pendant toute la soirée	Faire/compliments/toute/soirée
170	Avant de jouer, vous devez vous lever et faire un tour sur vous-même	jouer/devez/lever/faire/tour/-
171	Ne plus pouvoir dire ni oui ni non toute la soirée	pouvoir/dire/oui/toute/soirée
172	Se mettre des chaussettes sur vos mains	mettre/chaussettes/mains
173	Garder ses lunettes à l'envers	Garder/lunettes/envers
174	Faire l'arbre droit	Faire/arbre/droit
175	Mettre "j'ai pété" en statut Facebook	Mettre/pété/statut
176	Envoyez un snap d'une grimace à tous vos contacts	snap/grimace/tous/contacts
177	Ne plus pouvoir utiliser le mot "boire" toute la soirée	pouvoir/utiliser/mot/boire/toute/soirée
178	Inverser votre main dominante, si vous êtes droitier, faites tout avec la main gauche et inversement	Inverser/main/dominante/droitier/faites/main/gauche/inversement
179	Réciter une fable de De La Fontaine	Réciter/fable
180	Parler en anglais toute la soirée	Parler/anglais/toute/soirée
181	Faire un cadeau à une autre personne du groupe	Faire/cadeau/autre/personne/groupe
182	Ponctuer toutes vos phrases d'un gros mot	Ponctuer/toutes/phrases/gros/mot
183	Se laisser maquiller	laisser/maquiller
184	Faire une déclaration	Faire/déclaration
185	Enlever votre caleçon	Enlever/caleçon
186	Enlever votre soutien-gorge	Enlever/soutien/-/gorge
187	Ponctuer votre phrase d'un "Dab"	Ponctuer/phrase/Dab
188	Essayer de convaincre un membre du groupe que la dernière saison de GoT est bien	convaincre/membre/groupe/dernière/saison/GoT
189	Faire un strip-tease sur les 2be3 ou les Backstreet Boys	Faire/strip-tease
190	Mettre ses chaussures sur les mains	Mettre/chaussures/mains
191	Faire une danse honteuse sur les L5 ou les One Direction	Faire/danse/honteuse/L5/Direction
192	Se mouiller le pantalon	mouiller/pantalon
193	Faire le ménage tout au long de la soirée	Faire/ménage/long/soirée
194	Courir tout.e nu.e dans l'escalier	Courir/tout.e/escalier
195	Se mettre de la chantilly sur les tétons	mettre/chantilly/tétons
196	Lécher les pieds d'une personne du groupe	Lécher/pieds/personne/groupe
197	Montrer une photo où vous êtes honteux.se	Montrer/photo/honteux.se
198	Twerker	
199	Faire un bisou dans le cou à un.e membre du groupe	Faire/bisou/cou/un.e/membre/groupe
200	Lécher le cou d'un.e personne du groupe	Lécher/cou/personne/groupe
